"complete_sentence","question_text","english_translation","hint","alternate_correct_responses","option_a","option_b","option_c","option_d","correct_option","cefr_level","topic","explanation","resource"
"Devo andare dal dottore domani mattina.","Devo ___ dal dottore domani mattina.","I have to go to the doctor tomorrow morning.","","","andare","vado","andando","andata","A","A2","Verbi modali + infinito","Modal verbs (dovere, potere, volere) are always followed by an infinitive in Italian. 'Devo' (I must) requires the infinitive 'andare' (to go), not a conjugated form.","https://www.lawlessitalian.com/grammar/verbs/modal-verbs/"
"Fa freddo e c'è vento oggi.","Fa freddo e c'è ___ oggi.","It's cold and windy today.","","","vento","ventoso","il vento","venti","A","A2","Tempo (weather) – esteso","For weather with 'c'è', use the noun form without an article: 'c'è vento' (it's windy), 'c'è sole' (it's sunny), 'c'è nebbia' (it's foggy). Don't use the adjective form or article.","https://www.lawlessitalian.com/grammar/expressions/weather/"
"Mi puoi prestare la tua bicicletta per il weekend?","Mi puoi ___ la tua bicicletta per il weekend?","Can you lend me your bicycle for the weekend?","","","prestare","prendere in prestito","dare in prestito","restituire","A","A2","Prestare e chiedere in prestito","Use 'prestare' when asking someone to lend you something (you receive). 'Prendere in prestito' means to borrow (from someone's perspective). 'Restituire' means to return/give back.","https://www.lawlessitalian.com/vocabulary/borrowing-lending/"
"Posso prendere in prestito un po' di zucchero?","Posso ___ un po' di zucchero?","Can I borrow some sugar?","","","prendere in prestito","prestare","restituire","dare in prestito","A","A2","Prestare e chiedere in prestito","Use 'prendere in prestito' when you want to borrow something (you are receiving). 'Prestare' means to lend (you are giving).","https://www.lawlessitalian.com/vocabulary/borrowing-lending/"
"Non vado mai al cinema di lunedì.","Non vado ___ al cinema di lunedì.","I never go to the cinema on Mondays.","","","mai","sempre","ancora","più","A","A2","Forme negative composte (non...mai, non...niente, ecc.)","The double negative construction 'non...mai' (never) is standard in Italian. Unlike English, Italian requires both 'non' and 'mai' to express 'never'.","https://www.lawlessitalian.com/grammar/adverbs/negative-adverbs/"
"Non ho ancora finito i compiti.","Non ho ___ finito i compiti.","I haven't finished my homework yet.","","","ancora","mai","più","niente","A","A2","Forme negative composte (non...mai, non...niente, ecc.)","The construction 'non...ancora' means 'not yet' in Italian. It requires both 'non' and 'ancora' to express that something hasn't happened yet but is expected to.","https://www.lawlessitalian.com/grammar/adverbs/negative-adverbs/"
"Non c'è nessuno in casa oggi.","Non c'è ___ in casa oggi.","There's nobody at home today.","","","nessuno","qualcuno","sempre","ancora","A","A2","Forme negative composte (non...mai, non...niente, ecc.)","The double negative 'non...nessuno' (nobody/no one) is required in Italian. Both 'non' and 'nessuno' are needed to express the negative meaning, unlike in English.","https://www.lawlessitalian.com/grammar/adverbs/negative-adverbs/"
"Purtroppo non posso venire alla tua festa domani.","Purtroppo non ___ venire alla tua festa domani.","Unfortunately I cannot come to your party tomorrow.","subject: io","","posso","puoi","deve","vogliamo","A","A2","Verbi modali + infinito","The subject is implied to be 'io' (I) based on the context of apologizing/declining an invitation addressed to 'tua' (your). The first person singular of 'potere' is 'posso'.","https://www.lawlessitalian.com/grammar/modal-verbs/"
"Oggi c'è molta nebbia, guida con prudenza.","Oggi c'è molta ___, guida con prudenza.","Today there is a lot of fog, drive carefully.","","","nebbia","vento","sole","tuono","A","A2","Tempo (weather) – esteso","The adjective 'molta' is feminine singular. 'Nebbia' (fog) is the only feminine singular option. 'Vento', 'sole', and 'tuono' are masculine.","https://www.lawlessitalian.com/vocabulary/weather/"
"Mi presti la tua penna per un attimo?","Mi ___ la tua penna per un attimo?","Will you lend me your pen for a moment?","you give to me","","presti","prendi","restituisci","compri","A","A2","Prestare e chiedere in prestito","To ask someone to give you something temporarily, use 'prestare' (to lend). The structure 'Mi presti...?' means 'Do you lend to me...?'. 'Prendi' would mean 'Do you take...'.",""
