complete_sentence,question_text,english_translation,hint,alternate_correct_responses,option_a,option_b,option_c,option_d,correct_option,cefr_level,topic,explanation,resource
Vorrei degli spaghetti e della carne per pranzo.,Vorrei ___ spaghetti e della carne per pranzo.,I would like some spaghetti and some meat for lunch.,,,degli,dei,alcune,un po',A,A2,Articoli Partitivi,"Articoli partitivi: 'degli' is used before masculine plural nouns starting with vowels, s+consonant, z, ps, gn (spaghetti starts with sp).",https://www.lawlessitalian.com/grammar/articles/partitive/
Non ci andiamo mai la domenica.,Non ___ andiamo mai la domenica.,We never go there on Sundays.,,,ci,gli,le,ne,A,A2,Particella Ci,"La particella 'ci' significa 'there' o 'to that place' e sostituisce complementi di luogo introdotti da preposizioni come 'a', 'in', 'da'.",https://www.lawlessitalian.com/grammar/pronouns/ci/
Ci penso sempre quando sono triste.,___ penso sempre quando sono triste.,I always think about it when I'm sad.,,,Ci,Ne,Gli,Le,A,A2,Particella Ci,La particella 'ci' con il verbo 'pensare' significa 'about it/that' (pensare a qualcosa → pensarci).,https://www.lawlessitalian.com/grammar/pronouns/ci/
La mia casa è più grande della tua.,La mia casa è ___ grande della tua.,My house is bigger than yours.,,,più,molto,tanto,meno,A,A2,Comparativi e Superlativi,Il comparativo di maggioranza si forma con 'più' + aggettivo + 'di/che'. 'Più grande di' = bigger than.,https://www.lawlessitalian.com/grammar/adjectives/comparative/
Il mio quartiere ha molti negozi e ristoranti.,Il mio ___ ha molti negozi e ristoranti.,My neighborhood has many shops and restaurants.,,,quartiere,palazzo,giardino,appartamento,A,A2,Casa e Quartiere (vocabolario),"Un 'quartiere' è una zona o area di una città con negozi, case e servizi. È diverso da un singolo edificio o appartamento.",https://www.lawlessitalian.com/vocabulary/housing/
Marco è molto alto e ha gli occhi verdi.,Marco è molto alto e ha gli ___ verdi.,Marco is very tall and has green eyes.,,,occhi,capelli,orecchi,denti,A,A2,Descrizioni Fisiche e del Carattere (vocabolario),Per descrivere il colore degli occhi si usa 'avere gli occhi' + colore. 'Occhi verdi' = green eyes.,https://www.lawlessitalian.com/vocabulary/body-parts/
Quanto costa quella camicia rossa?,Quanto ___ quella camicia rossa?,How much does that red shirt cost?,,,costa,costano,è,sono,A,A2,Shopping (vocabolario),Per chiedere il prezzo si usa 'quanto costa' (singolare) o 'quanto costano' (plurale). 'Camicia' è singolare quindi 'costa'.,https://www.lawlessitalian.com/vocabulary/shopping/
Ieri ho mangiato troppo gelato.,Ieri ho ___ troppo gelato.,Yesterday I ate too much ice cream.,,,mangiato,mangiare,mangio,mangiai,A,A2,Participio Passato (irregolari frequenti),Il passato prossimo si forma con ausiliare (avere/essere) + participio passato. 'Mangiare' ha participio passato regolare 'mangiato'.,https://www.lawlessitalian.com/grammar/verbs/past-participle/
La mattina faccio sempre colazione alle sette.,La mattina ___ sempre colazione alle sette.,In the morning I always have breakfast at seven.,,,faccio,prendo,mangio,bevo,A,A2,Routine Quotidiana Dettagliata (vocabolario),In italiano si dice 'fare colazione' per dire 'have breakfast'. È l'espressione più comune e naturale.,https://www.lawlessitalian.com/vocabulary/meals/
Preferisco l'acqua naturale all'acqua frizzante.,Preferisco ___ naturale all'acqua frizzante.,I prefer still water to sparkling water.,,,l'acqua,la acqua,dell'acqua,un'acqua,A,A2,Confronto Articoli,L'articolo determinativo 'la' diventa 'l'' davanti a nomi femminili che iniziano per vocale. 'L'acqua' è la forma corretta.,https://www.lawlessitalian.com/grammar/articles/definite/
