complete_sentence,question_text,english_translation,hint,alternate_correct_responses,option_a,option_b,option_c,option_d,correct_option,cefr_level,topic,explanation,resource
Domani andrò al mercato per comprare della frutta fresca.,Domani ___ al mercato per comprare della frutta fresca.,Tomorrow I will go to the market to buy fresh fruit.,,,andrò,vado,andavo,sono andato,A,B1,Futuro semplice,The future tense 'andrò' (I will go) is needed here because of the time marker 'domani' (tomorrow). 'Andare' has an irregular future stem: andr-.,https://www.lawlessitalian.com/italian-lesson/future-tense-futuro-semplice/
Quest'estate i miei amici partiranno per un viaggio in Grecia.,Quest'estate i miei amici ___ per un viaggio in Grecia.,This summer my friends will leave for a trip to Greece.,,,partono,partiranno,sono partiti,partivano,B,B1,Futuro semplice,The future tense 'partiranno' (they will leave) is required with the future time reference 'quest'estate' (this summer). Regular -ire verb in future: partir- + -anno.,https://www.lawlessitalian.com/italian-lesson/future-tense-futuro-semplice/
Il volo è stato cancellato a causa del maltempo.,Il volo è stato ___ a causa del maltempo.,The flight was canceled due to bad weather.,,,cancellato,cancellare,cancellando,cancella,A,B1,Viaggi (reclami/imprevisti),Past participle 'cancellato' is needed to form the passive voice with 'è stato'. The masculine singular form agrees with 'il volo'.,https://www.lawlessitalian.com/italian-lesson/passive-voice/
La pizza è stata preparata dal cuoco più esperto del ristorante.,La pizza è stata preparata ___ cuoco più esperto del ristorante.,The pizza was prepared by the most experienced cook in the restaurant.,,,dal,al,del,nel,A,B1,Passivo (con essere),"In passive voice, the agent (who performs the action) is introduced by 'da' + article. 'Dal' is the contraction of 'da + il'.",https://www.lawlessitalian.com/italian-lesson/passive-voice/
Mia sorella si è fidanzata con un ragazzo che ha conosciuto all'università.,Mia sorella si è ___ con un ragazzo che ha conosciuto all'università.,My sister got engaged to a boy she met at university.,,,sposata,fidanzata,innamorata,lasciata,B,B1,Relazioni,'Fidanzarsi con' means 'to get engaged to'. The past participle agrees with the feminine subject 'mia sorella'.,https://www.lawlessitalian.com/italian-vocabulary/relationships/
Ho comprato dei fiori per mia madre e glieli porterò domani.,Ho comprato dei fiori per mia madre e ___ porterò domani.,I bought flowers for my mother and I will bring them to her tomorrow.,,,glieli,glielo,gli li,le li,A,B1,"Pronomi combinati (glielo, me ne)","'Glieli' combines 'gli' (to her) + 'li' (them, masculine plural for 'fiori'). The indirect pronoun 'gli' is used for both masculine and feminine singular in combined forms.",https://www.lawlessitalian.com/italian-lesson/double-object-pronouns/
"Vuoi del caffè? No grazie, me ne hai già dato troppo.","Vuoi del caffè? No grazie, ___ hai già dato troppo.","Do you want some coffee? No thanks, you've already given me too much (of it).",,,me lo,me ne,mi ne,me li,B,B1,"Pronomi combinati (glielo, me ne)",'Me ne' combines 'mi' (to me) + 'ne' (of it/some). 'Ne' is used for partitive quantities. 'Mi' becomes 'me' before 'ne'.,https://www.lawlessitalian.com/italian-lesson/double-object-pronouns/
Il servizio del ristorante era eccellente e i camerieri erano molto cortesi.,Il servizio del ristorante era ___ e i camerieri erano molto cortesi.,The restaurant's service was excellent and the waiters were very courteous.,,,eccellente,eccellenti,eccelente,eccelenti,A,B1,Ristorante (recensioni/preferenze),The adjective 'eccellente' (excellent) agrees with the masculine singular noun 'servizio'. Adjectives ending in -e have the same form for masculine and feminine singular.,https://www.lawlessitalian.com/italian-lesson/adjectives-agreement/
"Mentre guardavo la televisione, è arrivato mio fratello.","Mentre ___ la televisione, è arrivato mio fratello.","While I was watching television, my brother arrived.",,,ho guardato,guardavo,guarderò,guardo,B,B1,Imperfetto vs Passato prossimo,The imperfetto 'guardavo' describes an ongoing action in the past that was interrupted by another action (è arrivato) in the passato prossimo.,https://www.lawlessitalian.com/italian-lesson/imperfetto-vs-passato-prossimo/
Domani andrò al mare e nuoterò tutto il giorno.,Domani ___ al mare e nuoterò tutto il giorno.,Tomorrow I will go to the sea and I will swim all day.,,,andrò,vado,sono andato,andavo,A,B1,Futuro semplice,The futuro semplice is used to express future actions. 'Andrò' is the first person singular future form of 'andare'.,https://www.lawlessitalian.com/grammar/futuro-semplice/
La settimana prossima finiremo il progetto e lo presenteremo al capo.,La settimana prossima ___ il progetto e lo presenteremo al capo.,Next week we will finish the project and we will present it to the boss.,,,finiamo,finiremo,abbiamo finito,finivamo,B,B1,Futuro semplice,The futuro semplice is used for future actions. 'Finiremo' is the first person plural future form of 'finire'.,https://www.lawlessitalian.com/grammar/futuro-semplice/
"Mi dispiace, ma il volo è stato cancellato per il maltempo.","Mi dispiace, ma il volo ___ cancellato per il maltempo.","I'm sorry, but the flight has been cancelled due to bad weather.",,,ha,è stato,sarà,era,B,B1,Viaggi (reclami/imprevisti),The passive voice with 'essere' requires the past participle to agree with the subject. 'È stato cancellato' shows the flight was cancelled.,https://www.lawlessitalian.com/grammar/passive-voice/
La casa è stata costruita nel 1850 da un famoso architetto.,La casa ___ costruita nel 1850 da un famoso architetto.,The house was built in 1850 by a famous architect.,,,ha,è stata,sarà,era,B,B1,Passivo (con essere),The passive voice is formed with 'essere' + past participle. The past participle must agree with the subject in gender and number.,https://www.lawlessitalian.com/grammar/passive-voice/
Marco e Sofia si sono sposati l'anno scorso dopo cinque anni insieme.,Marco e Sofia ___ sposati l'anno scorso dopo cinque anni insieme.,Marco and Sofia got married last year after five years together.,,,hanno,si sono,erano,saranno,B,B1,Relazioni,"Reflexive verbs use 'essere' as auxiliary in compound tenses. 'Sposarsi' is reflexive, so we use 'si sono sposati'.",https://www.lawlessitalian.com/grammar/reflexive-verbs/
"Quando ho comprato il libro, glielo ho dato subito.","Quando ho comprato il libro, ___ ho dato subito.","When I bought the book, I gave it to him/her immediately.",,,glielo,lo gli,gli lo,lo le,A,B1,"Pronomi combinati (glielo, me ne)",Combined pronouns: indirect pronoun (gli/le becomes 'glie-') + direct pronoun ('lo') = 'glielo'. They form one word.,https://www.lawlessitalian.com/grammar/combined-pronouns/
"Non ce ne sono più in frigorifero, devo comprarne altri.","Non ___ sono più in frigorifero, devo comprarne altri.","There aren't any more in the refrigerator, I need to buy some more.",,,ci ne,ce ne,ne ci,ci,B,B1,"Pronomi combinati (glielo, me ne)",Combined pronouns: 'ci' becomes 'ce' before 'ne'. 'Ce ne' means 'there are some of them' in existential constructions.,https://www.lawlessitalian.com/grammar/combined-pronouns/
"Il servizio era eccellente, ma il cibo non mi è piaciuto per niente.","Il servizio era eccellente, ma il cibo non ___ piaciuto per niente.","The service was excellent, but I didn't like the food at all.",,,ho,mi è,mi ha,è,B,B1,Ristorante (recensioni/preferenze),The verb 'piacere' uses 'essere' as auxiliary and requires an indirect object pronoun. 'Mi è piaciuto' means 'I liked it'.,https://www.lawlessitalian.com/grammar/piacere/
"Mentre studiavo, è arrivato mio fratello con una sorpresa.","Mentre ___, è arrivato mio fratello con una sorpresa.","While I was studying, my brother arrived with a surprise.",,,ho studiato,studiavo,studio,studierò,B,B1,Imperfetto vs Passato prossimo,"The imperfetto describes ongoing background actions, while passato prossimo describes completed actions that interrupt. 'Studiavo' shows the ongoing action of studying.",https://www.lawlessitalian.com/grammar/imperfetto-vs-passato-prossimo/
Domani andremo al mare se farà bel tempo.,Domani andremo al mare se ___ bel tempo.,Tomorrow we'll go to the beach if the weather is nice.,,,farà,faceva,ha fatto,fa,A,B1,Futuro semplice,"In conditional sentences about future possibilities, both clauses use the future tense (futuro semplice) in Italian.",https://www.lawlessitalian.com/grammar/futuro-semplice/
