complete_sentence,question_text,english_translation,hint,alternate_correct_responses,option_a,option_b,option_c,option_d,correct_option,cefr_level,topic,explanation,resource
Non ce la faccio più a sopportare questo rumore continuo.,Non ___ faccio più a sopportare questo rumore continuo.,I can't stand this continuous noise anymore.,,,ce la,ci la,se la,me la,A,B2,"Verbi pronominali (andarsene, cavarsela, farcela, ecc.)",The verb 'farcela' means 'to manage/cope' and requires the pronouns 'ce la' with the verb fare. It's a common pronominal verb in Italian.,https://www.lawlessitalian.com/grammar/pronominal-verbs/
Il riscaldamento globale rappresenta una delle sfide più urgenti del nostro tempo.,Il riscaldamento globale rappresenta una delle ___ più urgenti del nostro tempo.,Global warming represents one of the most urgent challenges of our time.,,,sfide,problemi,questioni,difficoltà,A,B2,Ambiente (dibattito),"In environmental discourse, 'sfida' (challenge) is the most appropriate term when discussing global issues that require collective action and solutions.",https://www.lawlessitalian.com/vocabulary/environment/
"Quando avrò finito gli studi, cercherò lavoro all'estero.","Quando ___ finito gli studi, cercherò lavoro all'estero.","When I will have finished my studies, I'll look for work abroad.",,,avrò,avrei,abbia,avevo,A,B2,Futuro anteriore,The futuro anteriore (future perfect) is used to express an action that will be completed before another future action. It's formed with the future of avere/essere + past participle.,https://www.lawlessitalian.com/grammar/future-perfect/
Il sistema sanitario pubblico garantisce assistenza medica gratuita a tutti i cittadini.,Il sistema sanitario pubblico ___ assistenza medica gratuita a tutti i cittadini.,The public healthcare system guarantees free medical care to all citizens.,,,garantisce,assicura,promette,offre,A,B2,Sanità e società,"In the context of healthcare systems, 'garantire' (to guarantee) is the most precise verb to express the institutional commitment to providing services.",https://www.lawlessitalian.com/vocabulary/health/
"Pur essendo molto stanco, ha continuato a lavorare fino a tardi.","Pur ___ molto stanco, ha continuato a lavorare fino a tardi.","Despite being very tired, he continued working until late.",,,essendo,essere,stato,fosse,A,B2,Costruzioni con gerundio/participio,The construction 'pur + gerundio' expresses concession ('despite/although'). The gerund 'essendo' is used with the connector 'pur' to create this meaning.,https://www.lawlessitalian.com/grammar/gerund/
Pensavo che tu fossi già partito per le vacanze.,Pensavo che tu ___ già partito per le vacanze.,I thought you had already left for vacation.,,,fossi,eri,sei,sarai,A,B2,Congiuntivo imperfetto,"After 'pensavo che' (past opinion), the congiuntivo imperfetto is required. 'Fossi' is the imperfect subjunctive of 'essere' used with the past participle 'partito'.",https://www.lawlessitalian.com/grammar/imperfect-subjunctive/
La mamma ha fatto riparare la lavatrice dal tecnico.,La mamma ha fatto ___ la lavatrice dal tecnico.,Mom had the washing machine repaired by the technician.,,,riparare,riparata,riparando,che riparasse,A,B2,Verbi causativi (fare + infinito),The causative construction 'fare + infinitive' expresses having someone else do something. The infinitive form 'riparare' follows directly after 'fare'.,https://www.lawlessitalian.com/grammar/causative-faire/
"Se avessi studiato di più, avresti superato l'esame facilmente.","Se avessi studiato di più, ___ superato l'esame facilmente.","If you had studied more, you would have passed the exam easily.",,,avresti,avessi,avresti avuto,avevi,A,B2,Condizionale passato,"In hypothetical statements about the past (third conditional), the main clause uses the condizionale passato. 'Avresti' is the conditional perfect of 'avere' used with the past participle.",https://www.lawlessitalian.com/grammar/conditional-perfect/
Non se ne va mai prima delle otto di sera.,Non ___ va mai prima delle otto di sera.,He/She never leaves before eight in the evening.,,,se ne,si ne,ne se,ce ne,A,B2,"Verbi pronominali (andarsene, cavarsela, farcela, ecc.)",The pronominal verb 'andarsene' (to go away/leave) requires the reflexive pronoun 'se' followed by the particle 'ne'. The correct order is 'se ne' before the conjugated verb.,https://www.lawlessitalian.com/grammar/verbs/pronominal-verbs
Il riscaldamento globale avrà causato danni irreversibili entro il 2050.,Il riscaldamento globale ___ causato danni irreversibili entro il 2050.,Global warming will have caused irreversible damage by 2050.,,,avrà,avrebbe,aveva,ha,A,B2,Futuro anteriore,The futuro anteriore (future perfect) is formed with the future tense of avere/essere + past participle. It expresses an action that will be completed before a specific point in the future.,https://www.lawlessitalian.com/grammar/tenses/future-perfect
