"complete_sentence","question_text","english_translation","hint","alternate_correct_responses","option_a","option_b","option_c","option_d","correct_option","cefr_level","topic","explanation","resource"
"Ieri non sono potuto venire alla tua festa perché avevo la febbre alta.","Ieri non ___ venire alla tua festa perché avevo la febbre alta.","Yesterday I couldn't come to your party because I had a high fever.","","","ho potuto","sono potuto","potrei","potevo","B","A2","Imperfetto vs. Passato Prossimo","The passato prossimo (sono potuto) is used for a single, specific completed action in the past. The verb 'potere' (to be able to) with a motion verb like 'venire' (to come) takes the auxiliary 'essere'.","https://www.lawlessitalian.com/grammar/passato-prossimo-vs-imperfetto/"
"Da bambino giocavo a calcio tutti i giorni.","Da bambino ___ a calcio tutti i giorni.","As a child, I used to play soccer every day.","","","ho giocato","gioco","giocavo","giocassi","C","A2","Imperfetto vs. Passato Prossimo","The imperfetto (giocavo) is used to describe habitual or repeated actions in the past, indicated here by the phrase 'tutti i giorni' (every day).","https://www.lawlessitalian.com/grammar/passato-prossimo-vs-imperfetto/"
"Per andare in centro, devi prendere l'autobus numero 28.","Per andare ___ centro, devi prendere l'autobus numero 28.","To go downtown, you have to take bus number 28.","","","a","da","in","su","C","A2","Preposizioni Semplici","The preposition 'in' is used for entering a city or a specific place, such as 'in centro' (downtown/to the center).","https://www.lawlessitalian.com/grammar/prepositions/in-preposition/"
"Scusi, potrebbe aiutarmi a portare queste borse?","Scusi, ___ aiutarmi a portare queste borse?","Excuse me, could you help me carry these bags?","formal","","potevi","potrebbe","potresti","può","B","A2","Condizionale Presente","The conditional tense (potrebbe) is used for a polite request, especially in a formal context (indicated by 'Scusi'). The 'Lei' form is 'potrebbe'.","https://www.lawlessitalian.com/grammar/verbs/conditional/"
"Signor Rossi, mi dia il suo passaporto, per favore.","Signor Rossi, mi ___ il suo passaporto, per favore.","Mr. Rossi, give me your passport, please.","","","dà","dia","dai","dare","B","A2","Imperativo Formale","The formal imperative (dia) is used to give a command to someone you address with 'Lei'. The imperative for 'dare' (to give) is 'dia' in the formal singular.","https://www.lawlessitalian.com/grammar/verbs/imperative-formal/"
"In Italia si mangia molto bene.","In Italia ___ molto bene.","In Italy, one eats very well.","","","si mangi","si mangiano","si mangia","mangiamo","C","A2","Si Impersonale","The impersonal 'si' (si mangia) is used to talk about what 'one' or 'people in general' do. It is always followed by a verb in the third-person singular.","https://www.lawlessitalian.com/grammar/verbs/impersonal-si/"
"Per andare in spiaggia a piedi, ci vuole circa un'ora.","Per andare in spiaggia a piedi, ___ circa un'ora.","To go to the beach on foot, it takes about an hour.","","","ci metti","ci mettono","ci vuole","ci vogliono","C","A2","Volerci vs. Metterci","The impersonal verb 'volerci' (ci vuole/ci vogliono) is used to express how much time something requires or how long it takes in general. 'Ci vuole' is used for singular nouns or with a verb in the infinitive ('andare').","https://www.lawlessitalian.com/grammar/verbs/volerci-vs-metterci/"
"In questa zona, si vendono ancora molti prodotti tipici.","In questa zona, si ___ ancora molti prodotti tipici.","In this area, they still sell many typical products.","","","vende","vendono","vendi","si vende","B","A2","Si Impersonale","The impersonal 'si' agrees with the noun it refers to. Since 'prodotti' is a plural noun, the verb must be in the third-person plural (si vendono).","https://www.lawlessitalian.com/grammar/verbs/impersonal-si/"
"Qui si parla l'italiano e l'inglese.","Qui ___ l'italiano e l'inglese.","Here they speak Italian and English.","","","parlano","parliamo","si parla","parli","C","A2","Si Impersonale","The impersonal 'si' followed by a singular verb is used to talk about what 'one' or 'people in general' do. Even with multiple objects ('l'italiano e l'inglese'), the verb remains in the singular, as it is a general statement.","https://www.lawlessitalian.com/grammar/verbs/impersonal-si/"
"Qualche volta vado a fare una passeggiata al parco.","Write: Sometimes I go for a walk in the park.","Sometimes I go for a walk in the park.","","A volte vado a fare una passeggiata al parco;Ogni tanto vado a fare una passeggiata al parco","Qualche volta vado a fare una passeggiata al parco.","Qualche volte vado a fare una passeggiata al parco.","Qualche volta vado a fare una passeggiata al parchi.","Qualche volta vado per una passeggiata al parco.","A","A2","Aggettivi e Pronomi Indefiniti","The indefinite adjective 'qualche' is always followed by a singular noun, even though it means 'some' or 'a few' in English. The correct phrase is 'qualche volta'.","https://www.lawlessitalian.com/grammar/indefinite-adjectives/"
"Mentre guardavo la TV, è squillato il telefono.","Mentre ___ la TV, è squillato il telefono.","While I was watching TV, the phone rang.","","","guardavo","ho guardato","guardo","guarderò","A","A2","Imperfetto vs. Passato Prossimo","The imperfetto (guardavo) describes an ongoing background action, while the passato prossimo (è squillato) marks the interrupting event that occurred.","https://www.lawlessitalian.com/grammar/imperfetto-vs-passato-prossimo/"
"Da bambina andavo sempre al mare con i nonni.","Da bambina ___ sempre al mare con i nonni.","As a child, I always used to go to the sea with my grandparents.","feminine speaker","","sono andata","andavo","vado","andrò","B","A2","Imperfetto vs. Passato Prossimo","The imperfetto expresses habitual past actions. 'Sempre' and 'da bambina' are key indicators for using imperfetto rather than passato prossimo.","https://www.lawlessitalian.com/grammar/imperfetto/"
"Vado a scuola in autobus.","Vado a scuola ___ autobus.","I go to school by bus.","","","di","in","con","per","B","A2","Preposizioni Semplici","The preposition 'in' is used with means of transportation when you enter the vehicle (in autobus, in treno, in aereo).","https://www.lawlessitalian.com/grammar/prepositions/"
"Mi scusi, potrebbe ripetere?","___, potrebbe ripetere?","Excuse me, could you repeat?","formal","","Mi scusi","Scusami","Mi scusa","Scusate","A","A2","Imperativo Formale","The formal imperative uses the third person subjunctive. 'Mi scusi' is the formal way to say 'excuse me' using Lei form.","https://www.lawlessitalian.com/grammar/formal-imperative/"
"Vorrei un caffè, per favore.","___ un caffè, per favore.","I would like a coffee, please.","","","Voglio","Vorrei","Volevo","Vorrò","B","A2","Condizionale Presente","The conditional 'vorrei' (I would like) is more polite than the present tense 'voglio' (I want) when making requests.","https://www.lawlessitalian.com/grammar/conditional/"
"Ci vuole un'ora per arrivare a Roma.","___ un'ora per arrivare a Roma.","It takes an hour to get to Rome.","","","Ci vuole","Ci mette","Si mette","Si vuole","A","A2","Volerci vs. Metterci","Volerci is impersonal and indicates the time or things needed. 'Ci vuole' is used with singular nouns (un'ora).","https://www.lawlessitalian.com/grammar/volerci-metterci/"
"In Italia si mangia molto bene.","In Italia ___ mangia molto bene.","In Italy, one eats very well.","","","si","ci","ne","lo","A","A2","Si Impersonale","The impersonal 'si' construction expresses general statements about what 'one does' or 'people do' without specifying who.","https://www.lawlessitalian.com/grammar/impersonal-si/"
"Si dice che domani pioverà.","Si ___ che domani pioverà.","It is said that it will rain tomorrow.","","","dicono","dice","dica","dirà","B","A2","Si Impersonale","With si impersonale, the verb is always in third person singular when followed by 'che' clause. 'Si dice che' means 'it is said that'.","https://www.lawlessitalian.com/grammar/impersonal-si/"
"In questo negozio si vendono scarpe italiane.","In questo negozio si ___ scarpe italiane.","In this shop, Italian shoes are sold.","","","vende","vendono","vendete","vendi","B","A2","Si Impersonale","With si impersonale and plural objects, the verb agrees with the plural noun. 'Scarpe' is plural, so the verb becomes 'vendono'.","https://www.lawlessitalian.com/grammar/impersonal-si/"
"Ho comprato alcune riviste.","Ho comprato ___ riviste.","I bought some magazines.","","","qualche","alcune","ogni","nessuna","B","A2","Aggettivi e Pronomi Indefiniti","'Alcune' (some/a few) is used with plural nouns and agrees in gender. 'Qualche' would require singular noun despite plural meaning.","https://www.lawlessitalian.com/grammar/indefinite-adjectives/"
"Glielo darò domani.","___ darò domani.","I will give it to him/her tomorrow.","","","Glielo","Lo gli","Gli lo","Se lo","A","A2","Pronomi Combinati","When combining indirect object pronouns (gli/le) with direct object pronouns (lo/la/li/le), gli/le becomes 'glie' and combines into one word: glielo, gliela, glieli, gliele.","https://www.lawlessitalian.com/grammar/combined-pronouns/"
"Me la puoi prestare?","___ puoi prestare?","Can you lend it to me?","feminine object","","Me la","Mi la","La mi","Me lo","A","A2","Pronomi Combinati","The indirect pronoun 'mi' becomes 'me' when combined with direct object pronouns. 'La' indicates a feminine singular object.","https://www.lawlessitalian.com/grammar/combined-pronouns/"
"Te li mando subito.","Te ___ mando subito.","I'll send them to you right away.","masculine plural objects","","le","li","lo","la","B","A2","Pronomi Combinati","When combining pronouns, 'ti' becomes 'te' before direct object pronouns. 'Li' refers to masculine plural direct objects.","https://www.lawlessitalian.com/grammar/combined-pronouns/"
"Potresti chiudere la finestra?","___ chiudere la finestra?","Could you close the window?","","","Potresti","Puoi","Potevi","Potrai","A","A2","Condizionale Presente","The conditional 'potresti' (could you) is more polite than the present 'puoi' (can you) when making requests.","https://www.lawlessitalian.com/grammar/conditional/"
"Al tuo posto, andrei dal dottore.","Al tuo posto, ___ dal dottore.","If I were you, I would go to the doctor.","","","vado","andrei","sono andato","andavo","B","A2","Condizionale Presente","The conditional is used to give advice or express what you would do in someone else's situation. 'Andrei' is the first person conditional of 'andare'.","https://www.lawlessitalian.com/grammar/conditional/"
"Loro sono italiani.","Loro ___ italiani.","They are Italian.","","","sono","siamo","è","siete","A","A2","Verbo Essere e Presente Indicativo","The verb 'essere' conjugates as 'sono' for the third person plural (loro). This form is essential for nationality and descriptions.","https://www.lawlessitalian.com/grammar/verb-essere/"
"Marco fa sempre colazione al bar.","Marco ___ sempre colazione al bar.","Marco always has breakfast at the café.","","","fa","fai","facciamo","fanno","A","A2","Verbo Essere e Presente Indicativo","The verb 'fare' is irregular in the present tense. Third person singular is 'fa'. 'Fare colazione' means 'to have breakfast'.","https://www.lawlessitalian.com/grammar/present-tense/"
"Sto leggendo un libro interessante.","Sto ___ un libro interessante.","I am reading an interesting book.","","","leggendo","letto","leggo","leggere","A","A2","Stare + Gerundio","The present progressive uses 'stare' + gerund. The gerund of 'leggere' is 'leggendo' (-ere verbs form gerunds with -endo).","https://www.lawlessitalian.com/grammar/present-progressive/"
"Quando ero piccolo, volevo diventare astronauta.","Quando ero piccolo, ___ diventare astronauta.","When I was little, I wanted to become an astronaut.","","","volevo","ho voluto","voglio","vorrò","A","A2","Imperfetto vs. Passato Prossimo","Modal verbs like 'volere' use imperfetto to express desires or intentions in the past that were ongoing states, not completed actions.","https://www.lawlessitalian.com/grammar/imperfetto-vs-passato-prossimo/"
"Quando ero bambino, andavo sempre al mare d'estate.","Quando ero bambino, ___ sempre al mare d'estate.","When I was a child, I always went to the sea in summer.","","","andavo","sono andato","vado","andrò","A","A2","Imperfetto vs. Passato Prossimo","Use imperfetto for habitual actions in the past. 'Sempre' indicates repetition.","https://www.lawlessitalian.com/grammar/imperfetto/"
"Mentre studiavo, è arrivato mio fratello.","Mentre ___, è arrivato mio fratello.","While I was studying, my brother arrived.","","","studiavo","ho studiato","studio","studierò","A","A2","Imperfetto vs. Passato Prossimo","Use imperfetto for ongoing background actions. The arrival is the main event in passato prossimo.","https://www.lawlessitalian.com/grammar/imperfetto-vs-passato-prossimo/"
"Vado spesso a casa di Marco.","Vado spesso ___ casa di Marco.","I often go to Marco's house.","","","a","in","da","per","A","A2","Preposizioni Semplici","Use 'a' before 'casa' when specifying whose house. 'A casa di' means 'to/at someone's house'.","https://www.lawlessitalian.com/grammar/prepositions/"
"Signora Rossi, venga qui per favore!","Signora Rossi, ___ qui per favore!","Mrs. Rossi, come here please!","formal","","venga","vieni","viene","venire","A","A2","Imperativo Formale","Use the formal imperative (Lei form) when addressing someone formally. 'Venga' is the Lei form of 'venire'.","https://www.lawlessitalian.com/grammar/imperative/"
"Ci vogliono due ore per arrivare a Roma.","___ due ore per arrivare a Roma.","It takes two hours to get to Rome.","","","Ci vogliono","Ci metto","Ci mettiamo","Ci voglio","A","A2","Volerci vs. Metterci","Use 'volerci' (impersonal) for general time needed. 'Ci vogliono' agrees with plural 'due ore'.","https://www.lawlessitalian.com/grammar/volerci-metterci/"
"In Italia si mangia bene.","In Italia ___ mangia bene.","In Italy one eats well.","","","si","ci","ne","le","A","A2","Si Impersonale","Use 'si' for impersonal constructions meaning 'one does' or 'people do'.","https://www.lawlessitalian.com/grammar/impersonal-si/"
"Si dice che domani farà bel tempo.","___ dice che domani farà bel tempo.","It is said that tomorrow the weather will be nice.","","","Si","Ci","Lo","Ne","A","A2","Si Impersonale","Use 'si dice' for impersonal expressions meaning 'it is said' or 'they say'.","https://www.lawlessitalian.com/grammar/impersonal-si/"
"Qui si vendono libri usati.","Qui si ___ libri usati.","Here used books are sold.","","","vendono","vende","vendiamo","vendete","A","A2","Si Impersonale","With si impersonale and plural objects, the verb agrees with the plural noun (libri = vendono).","https://www.lawlessitalian.com/grammar/impersonal-si/"
